external_id,path,content,tags,disposition,severity,status,category,mitre_tactic,mitre_technique,first_seen,detected_at,region,data_source,escalation_tier,analyst,threat_actor,campaign_id,src_ip,dst_host,affected_user,ioc_hash,ioc_domain,cve_id,fp_cause,benign_cause,closure_reason,asset_criticality,confidence,cvss_score,alert_count,sla_met,ttd_minutes,ttr_minutes
INC0000011,root.soc.brute_force.y2024.camp_000003.inc_11,"[INC0000011] [P4] Password spraying Azure AD da 142.90.133.4/24: 16 tentativi su molti account, chiara.greco compromesso.",soc|incident|brute_force|P4|true_positive|mitre_credential_access|actor_akira|cve-2023-34362,true_positive,P4,resolved,brute_force,Credential Access,T1110.003,2024-01-21T14:51:07Z,2024-01-21T16:14:07Z,eu_south,Microsoft Sentinel,L2,l2.conti,Akira,CAMP000003,142.90.133.4,NAS-246,chiara.greco,,,CVE-2023-34362,,,incidente confermato,low,high,6.4,1,true,83,1152
INC0000012,root.soc.credential_theft.y2024.camp_000003.inc_12,[INC0000012] [P2] Dump LSASS via Mimikatz su NAS-246 (chiara.greco); estratti 142 hash NTLM incl. 1 Domain Admin.,soc|incident|credential_theft|P2|true_positive|mitre_credential_access|actor_akira|cve-2023-34362,true_positive,P2,investigating,credential_theft,Credential Access,T1003.006,2024-01-19T23:50:07Z,2024-01-21T20:20:07Z,eu_north,Sysmon/Splunk,L3,l3.threat_hunt,Akira,CAMP000003,142.90.133.4,NAS-246,chiara.greco,10cbe5aca5bf4d2612ffa1844885c77eb435a150c01d479cb85b428abcc1b50f,,CVE-2023-34362,,,incidente confermato,medium,high,6.3,1,false,2670,180
INC0000013,root.soc.discovery.y2024.camp_000003.inc_13,"[INC0000013] [P4] Ricognizione AD (BloodHound) da NAS-246 (chiara.greco); enumerati 183 oggetti, mapping percorsi a DA.",soc|incident|discovery|P4|true_positive|mitre_discovery|actor_akira|cve-2023-34362,true_positive,P4,resolved,discovery,Discovery,T1083,2024-01-21T20:49:07Z,2024-01-21T23:32:07Z,us_west,Defender for Endpoint,L1,analyst.de_luca,Akira,CAMP000003,142.90.133.4,NAS-246,chiara.greco,,,CVE-2023-34362,,,incidente confermato,critical,high,5.0,1,false,163,4320
INC0000014,root.soc.resource_dev.y2024.camp_000004.inc_14,"[INC0000014] [P3] Dominio look-alike cdn-assets-4531.net registrato di recente, infrastruttura riconducibile a Conti.",soc|incident|resource_dev|P3|true_positive|mitre_resource_development|actor_conti|cve-2021-34527,true_positive,P3,investigating,resource_dev,Resource Development,T1583.001,2024-02-09T04:58:21Z,2024-02-09T08:21:21Z,eu_south,Recorded Future TI,L3,l3.threat_hunt,Conti,CAMP000004,87.61.38.201,HV-492,antonio.esposito,,cdn-assets-4531.net,CVE-2021-34527,,,incidente confermato,medium,medium,6.0,1,true,203,480
INC0000015,root.soc.phishing.y2024.camp_000004.inc_15,[INC0000015] [P2] Spear-phishing a antonio.esposito con allegato c5dc85699e0df2baf96c9f5d0038c8a585431ef24ab9a68c902170176b7b7e59 dal dominio cdn-assets-4531.net; macro VBA che lancia PowerShell su HV-492.,soc|incident|phishing|P2|true_positive|mitre_initial_access|actor_conti|cve-2021-34527,true_positive,P2,investigating,phishing,Initial Access,T1566.001,2024-02-10T11:56:21Z,2024-02-10T13:45:21Z,latam,Proofpoint,L3,ir.lead,Conti,CAMP000004,87.61.38.201,HV-492,antonio.esposito,c5dc85699e0df2baf96c9f5d0038c8a585431ef24ab9a68c902170176b7b7e59,cdn-assets-4531.net,CVE-2021-34527,,,incidente confermato,high,high,4.7,1,false,109,180
INC0000016,root.soc.web_attack.y2024.camp_000004.inc_16,"[INC0000016] [P2] Exploitation CVE-2021-34527 su WEB-561 da 87.61.38.201; webshell deployata in wwwroot, RCE come utente di servizio.",soc|incident|web_attack|P2|true_positive|mitre_initial_access|actor_conti|cve-2021-34527,true_positive,P2,escalated,web_attack,Initial Access,T1133,2024-02-10T19:06:21Z,2024-02-10T21:02:21Z,us_west,Akamai WAF,L1,analyst.caputo,Conti,CAMP000004,87.61.38.201,WEB-561,antonio.esposito,,,CVE-2021-34527,,,incidente confermato,low,high,7.6,1,true,116,36
INC0000017,root.soc.valid_accounts.y2024.camp_000004.inc_17,[INC0000017] [P3] Login con credenziali valide di antonio.esposito da 87.61.38.201 (geo anomala) fuori orario; sessione su DB-444.,soc|incident|valid_accounts|P3|true_positive|mitre_initial_access|actor_conti|cve-2021-34527,true_positive,P3,resolved,valid_accounts,Initial Access,T1078.004,2024-02-12T18:32:21Z,2024-02-12T21:08:21Z,latam,Okta,L1,analyst.vitale,Conti,CAMP000004,87.61.38.201,DB-444,antonio.esposito,,,CVE-2021-34527,,,incidente confermato,low,medium,3.2,1,false,156,1440
INC0000018,root.soc.malware_execution.y2024.camp_000004.inc_18,"[INC0000018] [P1] Dropper 90cc2989246253f30b78067b47500e70e681e20cf2f4e630f15405215b4da31e eseguito su HV-492; scheduled task creato, beacon verso cdn-assets-4531.net.",soc|incident|malware_execution|P1|true_positive|mitre_execution|actor_conti|cve-2021-34527,true_positive,P1,investigating,malware_execution,Execution,T1059.001,2024-02-14T20:12:21Z,2024-02-14T22:16:21Z,mea,Trellix EDR,L3,ir.lead,Conti,CAMP000004,87.61.38.201,HV-492,antonio.esposito,90cc2989246253f30b78067b47500e70e681e20cf2f4e630f15405215b4da31e,,CVE-2021-34527,,,incidente confermato,high,high,7.8,1,false,124,27
INC0000019,root.soc.persistence.y2024.camp_000004.inc_19,"[INC0000019] [P3] Nuovo servizio Windows malevolo su HV-172; avvio automatico, C2 account-verify-6360.top.",soc|incident|persistence|P3|true_positive|mitre_persistence|actor_conti|cve-2021-34527,true_positive,P3,contained,persistence,Persistence,T1136.001,2024-02-12T05:59:21Z,2024-02-16T17:06:21Z,latam,CrowdStrike Falcon,L1,analyst.gallo,Conti,CAMP000004,223.233.156.228,HV-172,davide.conti,ec3b374ae2a313631d16460c8bbc841f17485bff4d6390bf6c953e83063acd0b,,CVE-2021-34527,,,incidente confermato,medium,medium,3.4,1,true,6427,192
INC0000020,root.soc.privilege_escalation.y2024.camp_000004.inc_20,[INC0000020] [P2] Escalation a SYSTEM su HV-492 via CVE-2021-34527; token theft rilevato dopo accesso di antonio.esposito.,soc|incident|privilege_escalation|P2|true_positive|mitre_privilege_escalation|actor_conti|cve-2021-34527,true_positive,P2,investigating,privilege_escalation,Privilege Escalation,T1548.002,2024-02-16T14:23:21Z,2024-02-16T17:20:21Z,latam,Defender for Endpoint,L2,l2.bianchi,Conti,CAMP000004,87.61.38.201,HV-492,antonio.esposito,,,CVE-2021-34527,,,incidente confermato,low,high,5.1,1,true,177,60
INC0000021,root.soc.defense_evasion.y2024.camp_000004.inc_21,"[INC0000021] [P4] Process injection in svchost.exe su HV-492; EDR eluso ~61 min, shellcode in memoria.",soc|incident|defense_evasion|P4|true_positive|mitre_defense_evasion|actor_conti|cve-2021-34527,true_positive,P4,resolved,defense_evasion,Defense Evasion,T1070.001,2024-02-16T22:51:21Z,2024-02-17T02:37:21Z,us_east,CrowdStrike Falcon,L2,l2.bianchi,Conti,CAMP000004,87.61.38.201,HV-492,antonio.esposito,,,CVE-2021-34527,,,incidente confermato,low,low,5.2,1,false,226,8640
INC0000022,root.soc.collection.y2024.camp_000004.inc_22,"[INC0000022] [P3] Postmortem campagna Conti: ricostruiti 8 stadi, IOC consolidati, lessons learned.",soc|incident|collection|P2|true_positive|mitre_collection|actor_conti,true_positive,P3,resolved,collection,Collection,T1114.001,2024-02-14T21:43:21Z,2024-02-19T19:37:21Z,mea,Defender for Endpoint,L2,l2.bianchi,Conti,CAMP000004,87.61.38.201,HV-492,antonio.esposito,,,,,,postmortem chiuso,critical,high,7.6,1,false,7074,108
INC0000023,root.soc.defense_evasion.y2024.camp_000005.inc_23,[INC0000023] [P3] Tamper protection Defender disabilitata su WKS-615 da processo malevolo; log 4688 alterati.,soc|incident|defense_evasion|P3|true_positive|mitre_defense_evasion|apt|actor_turla,true_positive,P3,resolved,defense_evasion,Defense Evasion,T1027,2024-06-06T21:00:36Z,2024-06-06T21:48:36Z,eu_north,Defender for Endpoint,L1,analyst.santoro,Turla,CAMP000005,208.129.223.95,WKS-615,luca.ferrari,,,,,,incidente confermato,high,low,4.1,1,true,48,288
INC0000024,root.soc.brute_force.y2024.camp_000005.inc_24,"[INC0000024] [P4] Password spraying Azure AD da 208.129.223.95/24: 27 tentativi su molti account, luca.ferrari compromesso.",soc|incident|brute_force|P4|true_positive|mitre_credential_access|apt|actor_turla,true_positive,P4,resolved,brute_force,Credential Access,T1110.001,2024-06-07T16:01:36Z,2024-06-07T16:12:36Z,us_east,Splunk,L2,l2.conti,Turla,CAMP000005,208.129.223.95,WKS-615,luca.ferrari,,,,,,incidente confermato,medium,high,3.8,1,false,11,1872
INC0000025,root.soc.credential_theft.y2024.camp_000005.inc_25,[INC0000025] [P2] Kerberoasting da WKS-615: 27 richieste TGS; hash service account luca.ferrari craccato offline.,soc|incident|credential_theft|P2|true_positive|mitre_credential_access|apt|actor_turla,true_positive,P2,resolved,credential_theft,Credential Access,T1558.003,2024-06-06T13:33:36Z,2024-06-08T12:22:36Z,mea,CrowdStrike Falcon,L3,l3.threat_hunt,Turla,CAMP000005,208.129.223.95,WKS-615,luca.ferrari,a45ce09e0938714236318a407526d27d30c4d57ae1ac626f03cb2ab57f7fa5bf,,,,,incidente confermato,high,high,4.4,1,true,2809,24
INC0000026,root.soc.collection.y2024.camp_000005.inc_26,"[INC0000026] [P3] Postmortem campagna Turla: ricostruiti 3 stadi, IOC consolidati, lessons learned.",soc|incident|collection|P4|true_positive|mitre_collection|apt|actor_turla,true_positive,P3,resolved,collection,Collection,T1113,2024-06-01T00:53:36Z,2024-06-09T21:22:36Z,mea,Defender for Endpoint,L1,analyst.santoro,Turla,CAMP000005,208.129.223.95,WKS-615,luca.ferrari,,,,,,postmortem chiuso,low,high,4.1,1,false,12749,2592
INC0000027,root.soc.brute_force.y2024.camp_000006.inc_27,"[INC0000027] [P3] RDP brute-force su HV-280 da 46.216.242.133: 121 tentativi, 1 successo su stefano.costa.",soc|incident|brute_force|P3|true_positive|mitre_credential_access|apt|actor_sandworm,true_positive,P3,resolved,brute_force,Credential Access,T1110.004,2024-05-28T14:37:12Z,2024-05-28T15:21:12Z,eu_south,Splunk,L2,l2.greco,Sandworm,CAMP000006,46.216.242.133,DB-771,stefano.costa,,,,,,incidente confermato,medium,low,3.8,1,false,44,2880
INC0000028,root.soc.credential_theft.y2024.camp_000006.inc_28,[INC0000028] [P1] Kerberoasting da DB-771: 45 richieste TGS; hash service account stefano.costa craccato offline.,soc|incident|credential_theft|P1|true_positive|mitre_credential_access|apt|actor_sandworm,true_positive,P1,contained,credential_theft,Credential Access,T1003.001,2024-04-24T19:09:12Z,2024-05-30T09:03:12Z,us_east,Sysmon/Splunk,L2,l2.conti,Sandworm,CAMP000006,46.216.242.133,DB-771,stefano.costa,b317897b07e28f306c6e2a5c747fee6cdba5d2742bcc7fbcc5dceb9ee370e0a1,,,,,incidente confermato,high,high,8.5,1,true,51234,6
INC0000029,root.soc.discovery.y2024.camp_000006.inc_29,"[INC0000029] [P3] Ricognizione AD (BloodHound) da DB-771 (stefano.costa); enumerati 93 oggetti, mapping percorsi a DA.",soc|incident|discovery|P3|true_positive|mitre_discovery|apt|actor_sandworm,true_positive,P3,resolved,discovery,Discovery,T1083,2024-05-30T13:06:12Z,2024-05-30T16:32:12Z,eu_north,Defender for Endpoint,L1,analyst.ferretti,Sandworm,CAMP000006,46.216.242.133,DB-771,stefano.costa,,,,,,incidente confermato,high,high,2.5,1,true,206,384
INC0000030,root.soc.lateral_movement.y2024.camp_000006.inc_30,[INC0000030] [P2] Pass-the-Hash da K8S-297: hash di svc_deploy usato su 386 host (Impacket wmiexec).,soc|incident|lateral_movement|P2|true_positive|mitre_lateral_movement|apt|actor_sandworm,true_positive,P2,contained,lateral_movement,Lateral Movement,T1550.002,2024-05-13T09:41:12Z,2024-06-01T06:32:12Z,apac,Darktrace,L2,l2.conti,Sandworm,CAMP000006,61.49.71.28,DB-755,svc_deploy,,,,,,incidente confermato,low,high,5.4,1,false,27171,360
INC0000031,root.soc.collection.y2024.camp_000006.inc_31,[INC0000031] [P3] Staging dati su DB-771: archivio creato in temp prima dell'exfiltration da parte di stefano.costa.,soc|incident|collection|P3|true_positive|mitre_collection|apt|actor_sandworm,true_positive,P3,investigating,collection,Collection,T1113,2024-05-26T23:13:12Z,2024-06-01T15:31:12Z,mea,Forcepoint DLP,L2,l2.conti,Sandworm,CAMP000006,46.216.242.133,DB-771,stefano.costa,,,,,,incidente confermato,medium,medium,3.4,1,true,8178,192
INC0000032,root.soc.c2_beaconing.y2024.camp_000006.inc_32,"[INC0000032] [P4] Beacon C2 da DB-771 verso update-portal-1706.com (46.216.242.133:3389) ogni 28 min, jitter regolare HTTPS.",soc|incident|c2_beaconing|P4|true_positive|mitre_command_and_control|apt|actor_sandworm,true_positive,P4,resolved,c2_beaconing,Command and Control,T1071.001,2024-05-23T05:13:12Z,2024-06-02T11:31:12Z,apac,Suricata IDS,L1,analyst.de_luca,Sandworm,CAMP000006,46.216.242.133,DB-771,stefano.costa,,update-portal-1706.com,,,,incidente confermato,critical,high,6.3,1,false,14778,8640
INC0000033,root.soc.data_exfiltration.y2024.camp_000006.inc_33,[INC0000033] [P2] Esfiltrazione 330111 record PII da DB-771 verso storage non aziendale (stefano.costa).,soc|incident|data_exfiltration|P2|true_positive|mitre_exfiltration|apt|actor_sandworm,true_positive,P2,resolved,data_exfiltration,Exfiltration,T1567.002,2024-05-29T08:38:12Z,2024-06-02T16:46:12Z,mea,Forcepoint DLP,L3,ir.lead,Sandworm,CAMP000006,46.216.242.133,DB-771,stefano.costa,,update-portal-1706.com,,,,incidente confermato,high,high,4.3,1,true,6248,24
INC0000034,root.soc.lateral_movement.y2024.camp_000006.inc_34,[INC0000034] [P2] Deployment software massivo (SCCM/Intune/Ansible) scambiato per propagazione malware,soc|incident|lateral_movement|P2|false_positive|mitre_lateral_movement|fp_sw_deployment,false_positive,P2,closed_false_positive,lateral_movement,Lateral Movement,T1021.006,2024-05-09T11:53:12Z,2024-06-02T16:46:12Z,eu_south,Defender for Identity,L1,analyst.vitale,n/a,CAMP000006,46.216.242.133,WEB-653,stefano.costa,,,,sw_deployment,,"triage: falso positivo, regola tunata",high,low,6.2,1,true,34853,60
INC0000035,root.soc.resource_dev.y2023.camp_000007.inc_35,[INC0000035] [P4] Nuovo certificato TLS per telemetry-srv-2917.io osservato in TI; staging per campagna Royal.,soc|incident|resource_dev|P4|true_positive|mitre_resource_development|actor_royal,true_positive,P4,resolved,resource_dev,Resource Development,T1583.001,2023-05-25T07:32:28Z,2023-05-25T08:24:28Z,eu_south,VirusTotal,L1,analyst.caputo,Royal,CAMP000007,77.245.198.71,DC-950,marco.lombardi,,telemetry-srv-2917.io,,,,incidente confermato,low,high,5.4,1,false,52,2592
INC0000036,root.soc.phishing.y2023.camp_000007.inc_36,[INC0000036] [P2] Spear-phishing a marco.lombardi con allegato 47988d04cf69c008eda9faaf90f3e3ad4ad77f6159cb3e5ae46e9d92f53fc1e0 dal dominio telemetry-srv-2917.io; macro VBA che lancia PowerShell su DC-950.,soc|incident|phishing|P2|true_positive|mitre_initial_access|actor_royal,true_positive,P2,resolved,phishing,Initial Access,T1566.002,2023-05-26T04:16:28Z,2023-05-26T07:12:28Z,eu_west,Proofpoint,L3,ir.lead,Royal,CAMP000007,77.245.198.71,DC-950,marco.lombardi,47988d04cf69c008eda9faaf90f3e3ad4ad77f6159cb3e5ae46e9d92f53fc1e0,telemetry-srv-2917.io,,,,incidente confermato,low,high,6.7,1,false,176,78
INC0000037,root.soc.web_attack.y2023.camp_000007.inc_37,"[INC0000037] [P1] Exploitation n/d su WKS-913 da 77.245.198.71; webshell deployata in wwwroot, RCE come utente di servizio.",soc|incident|web_attack|P1|true_positive|mitre_initial_access|actor_royal,true_positive,P1,contained,web_attack,Initial Access,T1133,2023-05-26T18:49:28Z,2023-05-26T19:59:28Z,us_east,AWS WAF,L2,l2.bianchi,Royal,CAMP000007,77.245.198.71,WKS-913,marco.lombardi,,,,,,incidente confermato,medium,high,7.7,1,true,70,12
INC0000038,root.soc.valid_accounts.y2023.camp_000007.inc_38,[INC0000038] [P3] Login con credenziali valide di svc_iis da 192.168.217.196 (geo anomala) fuori orario; sessione su K8S-625.,soc|incident|valid_accounts|P3|true_positive|mitre_initial_access|actor_royal,true_positive,P3,resolved,valid_accounts,Initial Access,T1078.004,2023-05-28T09:07:28Z,2023-05-28T12:58:28Z,latam,Okta,L1,analyst.de_luca,Royal,CAMP000007,192.168.217.196,K8S-625,svc_iis,,,,,,incidente confermato,medium,high,3.0,1,true,231,384
INC0000039,root.soc.malware_execution.y2023.camp_000007.inc_39,"[INC0000039] [P1] PowerShell offuscato su DC-950 (utente marco.lombardi); parent anomalo, stage2 scaricato da 77.245.198.71:3389.",soc|incident|malware_execution|P1|true_positive|mitre_execution|actor_royal,true_positive,P1,escalated,malware_execution,Execution,T1059.003,2023-05-30T01:40:28Z,2023-05-30T02:06:28Z,apac,Defender for Endpoint,L2,l2.greco,Royal,CAMP000007,77.245.198.71,DC-950,marco.lombardi,7125adad61d3b78ddd8c7abe7e036dc4791bae86b7d5804c1cfe79754135f6bf,,,,,incidente confermato,critical,high,9.9,1,true,26,12
INC0000040,root.soc.persistence.y2023.camp_000007.inc_40,"[INC0000040] [P1] Nuovo servizio Windows malevolo su FS-176; avvio automatico, C2 account-verify-6440.com.",soc|incident|persistence|P1|true_positive|mitre_persistence|actor_royal,true_positive,P1,escalated,persistence,Persistence,T1543.003,2023-05-29T23:11:28Z,2023-05-31T16:40:28Z,mea,CrowdStrike Falcon,L3,ir.lead,Royal,CAMP000007,172.16.87.104,FS-176,paolo.romano,bd513ffad1b9b410d140510a96110e7290555864c7c2c520b65eef90d952e002,,,,,incidente confermato,critical,high,9.6,1,true,2489,12
INC0000041,root.soc.privilege_escalation.y2023.camp_000007.inc_41,[INC0000041] [P1] Escalation a SYSTEM su WEB-347 via CVE-2022-37969; token theft rilevato dopo accesso di davide.conti.,soc|incident|privilege_escalation|P1|true_positive|mitre_privilege_escalation|actor_royal|cve-2022-37969,true_positive,P1,resolved,privilege_escalation,Privilege Escalation,T1548.002,2023-06-01T03:23:28Z,2023-06-01T07:14:28Z,apac,Defender for Endpoint,L3,ir.lead,Royal,CAMP000007,10.20.13.125,WEB-347,davide.conti,,,CVE-2022-37969,,,incidente confermato,medium,high,8.4,1,true,231,9
INC0000042,root.soc.defense_evasion.y2023.camp_000007.inc_42,"[INC0000042] [P2] Process injection in svchost.exe su DC-950; EDR eluso ~149 min, shellcode in memoria.",soc|incident|defense_evasion|P2|true_positive|mitre_defense_evasion|actor_royal,true_positive,P2,contained,defense_evasion,Defense Evasion,T1070.001,2023-06-02T21:49:28Z,2023-06-03T01:25:28Z,eu_north,Defender for Endpoint,L3,ir.lead,Royal,CAMP000007,77.245.198.71,DC-950,marco.lombardi,,,,,,incidente confermato,high,high,4.3,1,false,216,180
INC0000043,root.soc.collection.y2023.camp_000007.inc_43,"[INC0000043] [P3] Postmortem campagna Royal: ricostruiti 8 stadi, IOC consolidati, lessons learned.",soc|incident|collection|P3|true_positive|mitre_collection|actor_royal,true_positive,P3,resolved,collection,Collection,T1113,2023-06-01T10:09:28Z,2023-06-04T11:25:28Z,latam,Microsoft Purview DLP,L1,analyst.moretti,Royal,CAMP000007,77.245.198.71,DC-950,marco.lombardi,,,,,,postmortem chiuso,medium,high,3.7,1,true,4396,288
INC0000044,root.soc.privilege_escalation.y2023.camp_000007.inc_44,[INC0000044] [P4] Attivita' di penetration test / red-team pianificata e autorizzata (rules of engagement attive),soc|incident|privilege_escalation|P4|false_positive|mitre_privilege_escalation|fp_pentest_redteam|cve-2020-1472,false_positive,P4,closed_false_positive,privilege_escalation,Privilege Escalation,T1134.001,2023-06-02T21:26:28Z,2023-06-03T01:25:28Z,mea,Defender for Endpoint,L1,analyst.caputo,n/a,CAMP000007,77.245.198.71,DC-950,marco.lombardi,,,CVE-2020-1472,pentest_redteam,,"triage: falso positivo, regola tunata",low,low,4.4,1,false,239,8640
INC0000045,root.soc.persistence.y2024.camp_000008.inc_45,"[INC0000045] [P3] Nuovo servizio Windows malevolo su HV-305; avvio automatico, C2 drive-sync-5784.ru.",soc|incident|persistence|P3|true_positive|mitre_persistence|apt|actor_turla|cve-2020-1472,true_positive,P3,resolved,persistence,Persistence,T1543.003,2024-11-16T02:59:14Z,2024-11-23T13:40:14Z,apac,CrowdStrike Falcon,L2,l2.bianchi,Turla,CAMP000008,10.20.47.243,HV-305,davide.conti,e8676d09f015706078d1ee47e0db1e1d8c9039b11184d7c1bbc7958c119fbd9b,,CVE-2020-1472,,,incidente confermato,medium,medium,4.3,1,false,10721,1440
INC0000046,root.soc.privilege_escalation.y2024.camp_000008.inc_46,[INC0000046] [P4] Escalation a SYSTEM su DC-354 via CVE-2020-1472; token theft rilevato dopo accesso di davide.conti.,soc|incident|privilege_escalation|P4|true_positive|mitre_privilege_escalation|apt|actor_turla|cve-2020-1472,true_positive,P4,resolved,privilege_escalation,Privilege Escalation,T1134.001,2024-11-24T05:43:14Z,2024-11-24T07:41:14Z,apac,Defender for Endpoint,L1,analyst.santoro,Turla,CAMP000008,154.69.168.40,DC-354,davide.conti,,,CVE-2020-1472,,,incidente confermato,high,medium,4.0,1,true,118,1152
