from_external_id,to_external_id,link_type,rationale
INC0000036,INC0000037,causal,progressione kill-chain stesso attore/campagna
INC0000036,INC0000037,temporal,"stessa campagna, sequenza temporale"
INC0000037,INC0000038,causal,progressione kill-chain stesso attore/campagna
INC0000037,INC0000038,temporal,"stessa campagna, sequenza temporale"
INC0000038,INC0000039,causal,progressione kill-chain stesso attore/campagna
INC0000038,INC0000039,temporal,"stessa campagna, sequenza temporale"
INC0000039,INC0000040,causal,progressione kill-chain stesso attore/campagna
INC0000039,INC0000040,temporal,"stessa campagna, sequenza temporale"
INC0000040,INC0000041,causal,progressione kill-chain stesso attore/campagna
INC0000040,INC0000041,temporal,"stessa campagna, sequenza temporale"
INC0000041,INC0000042,causal,progressione kill-chain stesso attore/campagna
INC0000041,INC0000042,temporal,"stessa campagna, sequenza temporale"
INC0000043,INC0000035,supports,postmortem corrobora lo stadio
INC0000043,INC0000036,supports,postmortem corrobora lo stadio
INC0000043,INC0000037,supports,postmortem corrobora lo stadio
INC0000043,INC0000038,supports,postmortem corrobora lo stadio
INC0000043,INC0000039,supports,postmortem corrobora lo stadio
INC0000043,INC0000040,supports,postmortem corrobora lo stadio
INC0000043,INC0000041,supports,postmortem corrobora lo stadio
INC0000043,INC0000042,supports,postmortem corrobora lo stadio
INC0000044,INC0000040,contradicts,falso positivo iniziale vs attivita' confermata
INC0000045,INC0000046,causal,progressione kill-chain stesso attore/campagna
INC0000045,INC0000046,temporal,"stessa campagna, sequenza temporale"
INC0000046,INC0000047,causal,progressione kill-chain stesso attore/campagna
INC0000046,INC0000047,temporal,"stessa campagna, sequenza temporale"
INC0000048,INC0000049,causal,progressione kill-chain stesso attore/campagna
INC0000048,INC0000049,temporal,"stessa campagna, sequenza temporale"
INC0000049,INC0000050,causal,progressione kill-chain stesso attore/campagna
INC0000049,INC0000050,temporal,"stessa campagna, sequenza temporale"
INC0000051,INC0000052,causal,progressione kill-chain stesso attore/campagna
INC0000051,INC0000052,temporal,"stessa campagna, sequenza temporale"
INC0000052,INC0000053,causal,progressione kill-chain stesso attore/campagna
INC0000052,INC0000053,temporal,"stessa campagna, sequenza temporale"
INC0000053,INC0000054,causal,progressione kill-chain stesso attore/campagna
INC0000053,INC0000054,temporal,"stessa campagna, sequenza temporale"
INC0000054,INC0000055,causal,progressione kill-chain stesso attore/campagna
INC0000054,INC0000055,temporal,"stessa campagna, sequenza temporale"
INC0000056,INC0000057,causal,progressione kill-chain stesso attore/campagna
INC0000056,INC0000057,temporal,"stessa campagna, sequenza temporale"
INC0000057,INC0000058,causal,progressione kill-chain stesso attore/campagna
INC0000057,INC0000058,temporal,"stessa campagna, sequenza temporale"
INC0000058,INC0000059,causal,progressione kill-chain stesso attore/campagna
INC0000058,INC0000059,temporal,"stessa campagna, sequenza temporale"
INC0000060,INC0000061,causal,progressione kill-chain stesso attore/campagna
INC0000060,INC0000061,temporal,"stessa campagna, sequenza temporale"
INC0000061,INC0000062,causal,progressione kill-chain stesso attore/campagna
INC0000061,INC0000062,temporal,"stessa campagna, sequenza temporale"
INC0000062,INC0000063,causal,progressione kill-chain stesso attore/campagna
INC0000062,INC0000063,temporal,"stessa campagna, sequenza temporale"
INC0000064,INC0000062,contradicts,falso positivo iniziale vs attivita' confermata
INC0000065,INC0000066,causal,progressione kill-chain stesso attore/campagna
INC0000065,INC0000066,temporal,"stessa campagna, sequenza temporale"
INC0000066,INC0000067,causal,progressione kill-chain stesso attore/campagna
INC0000066,INC0000067,temporal,"stessa campagna, sequenza temporale"
INC0000067,INC0000068,causal,progressione kill-chain stesso attore/campagna
INC0000067,INC0000068,temporal,"stessa campagna, sequenza temporale"
INC0000069,INC0000065,supports,postmortem corrobora lo stadio
INC0000069,INC0000066,supports,postmortem corrobora lo stadio
INC0000069,INC0000067,supports,postmortem corrobora lo stadio
INC0000069,INC0000068,supports,postmortem corrobora lo stadio
INC0000070,INC0000071,causal,progressione kill-chain stesso attore/campagna
INC0000070,INC0000071,temporal,"stessa campagna, sequenza temporale"
INC0000071,INC0000072,causal,progressione kill-chain stesso attore/campagna
INC0000071,INC0000072,temporal,"stessa campagna, sequenza temporale"
INC0000073,INC0000070,supports,postmortem corrobora lo stadio
INC0000073,INC0000071,supports,postmortem corrobora lo stadio
INC0000073,INC0000072,supports,postmortem corrobora lo stadio
INC0000074,INC0000072,contradicts,falso positivo iniziale vs attivita' confermata
INC0000075,INC0000076,causal,progressione kill-chain stesso attore/campagna
INC0000075,INC0000076,temporal,"stessa campagna, sequenza temporale"
INC0000076,INC0000077,causal,progressione kill-chain stesso attore/campagna
INC0000076,INC0000077,temporal,"stessa campagna, sequenza temporale"
INC0000077,INC0000078,causal,progressione kill-chain stesso attore/campagna
INC0000077,INC0000078,temporal,"stessa campagna, sequenza temporale"
INC0000078,INC0000079,causal,progressione kill-chain stesso attore/campagna
INC0000078,INC0000079,temporal,"stessa campagna, sequenza temporale"
INC0000079,INC0000080,causal,progressione kill-chain stesso attore/campagna
INC0000079,INC0000080,temporal,"stessa campagna, sequenza temporale"
INC0000080,INC0000081,causal,progressione kill-chain stesso attore/campagna
INC0000080,INC0000081,temporal,"stessa campagna, sequenza temporale"
INC0000082,INC0000075,supports,postmortem corrobora lo stadio
INC0000082,INC0000076,supports,postmortem corrobora lo stadio
INC0000082,INC0000077,supports,postmortem corrobora lo stadio
INC0000082,INC0000078,supports,postmortem corrobora lo stadio
INC0000082,INC0000079,supports,postmortem corrobora lo stadio
INC0000082,INC0000080,supports,postmortem corrobora lo stadio
INC0000082,INC0000081,supports,postmortem corrobora lo stadio
INC0000083,INC0000084,causal,progressione kill-chain stesso attore/campagna
INC0000083,INC0000084,temporal,"stessa campagna, sequenza temporale"
INC0000084,INC0000085,causal,progressione kill-chain stesso attore/campagna
INC0000084,INC0000085,temporal,"stessa campagna, sequenza temporale"
INC0000085,INC0000086,causal,progressione kill-chain stesso attore/campagna
INC0000085,INC0000086,temporal,"stessa campagna, sequenza temporale"
INC0000086,INC0000087,causal,progressione kill-chain stesso attore/campagna
INC0000086,INC0000087,temporal,"stessa campagna, sequenza temporale"
INC0000088,INC0000083,supports,postmortem corrobora lo stadio
INC0000088,INC0000084,supports,postmortem corrobora lo stadio
INC0000088,INC0000085,supports,postmortem corrobora lo stadio
INC0000088,INC0000086,supports,postmortem corrobora lo stadio
INC0000088,INC0000087,supports,postmortem corrobora lo stadio
INC0000089,INC0000090,causal,progressione kill-chain stesso attore/campagna
INC0000089,INC0000090,temporal,"stessa campagna, sequenza temporale"
INC0000090,INC0000091,causal,progressione kill-chain stesso attore/campagna
INC0000090,INC0000091,temporal,"stessa campagna, sequenza temporale"
INC0000092,INC0000090,contradicts,falso positivo iniziale vs attivita' confermata
INC0000093,INC0000094,causal,progressione kill-chain stesso attore/campagna
INC0000093,INC0000094,temporal,"stessa campagna, sequenza temporale"
INC0000094,INC0000095,causal,progressione kill-chain stesso attore/campagna
INC0000094,INC0000095,temporal,"stessa campagna, sequenza temporale"
INC0000095,INC0000096,causal,progressione kill-chain stesso attore/campagna
INC0000095,INC0000096,temporal,"stessa campagna, sequenza temporale"
INC0000096,INC0000097,causal,progressione kill-chain stesso attore/campagna
INC0000096,INC0000097,temporal,"stessa campagna, sequenza temporale"
INC0000097,INC0000098,causal,progressione kill-chain stesso attore/campagna
INC0000097,INC0000098,temporal,"stessa campagna, sequenza temporale"
INC0000098,INC0000099,causal,progressione kill-chain stesso attore/campagna
INC0000098,INC0000099,temporal,"stessa campagna, sequenza temporale"
INC0000100,INC0000101,causal,progressione kill-chain stesso attore/campagna
INC0000100,INC0000101,temporal,"stessa campagna, sequenza temporale"
INC0000101,INC0000102,causal,progressione kill-chain stesso attore/campagna
INC0000101,INC0000102,temporal,"stessa campagna, sequenza temporale"
INC0000102,INC0000103,causal,progressione kill-chain stesso attore/campagna
INC0000102,INC0000103,temporal,"stessa campagna, sequenza temporale"
INC0000103,INC0000104,causal,progressione kill-chain stesso attore/campagna
INC0000103,INC0000104,temporal,"stessa campagna, sequenza temporale"
INC0000105,INC0000106,causal,progressione kill-chain stesso attore/campagna
INC0000105,INC0000106,temporal,"stessa campagna, sequenza temporale"
INC0000106,INC0000107,causal,progressione kill-chain stesso attore/campagna
INC0000106,INC0000107,temporal,"stessa campagna, sequenza temporale"
INC0000107,INC0000108,causal,progressione kill-chain stesso attore/campagna
INC0000107,INC0000108,temporal,"stessa campagna, sequenza temporale"
INC0000108,INC0000109,causal,progressione kill-chain stesso attore/campagna
INC0000108,INC0000109,temporal,"stessa campagna, sequenza temporale"
INC0000109,INC0000110,causal,progressione kill-chain stesso attore/campagna
INC0000109,INC0000110,temporal,"stessa campagna, sequenza temporale"
INC0000111,INC0000105,supports,postmortem corrobora lo stadio
INC0000111,INC0000106,supports,postmortem corrobora lo stadio
INC0000111,INC0000107,supports,postmortem corrobora lo stadio
INC0000111,INC0000108,supports,postmortem corrobora lo stadio
INC0000111,INC0000109,supports,postmortem corrobora lo stadio
INC0000111,INC0000110,supports,postmortem corrobora lo stadio
INC0000112,INC0000106,contradicts,falso positivo iniziale vs attivita' confermata
INC0000113,INC0000114,causal,progressione kill-chain stesso attore/campagna
INC0000113,INC0000114,temporal,"stessa campagna, sequenza temporale"
INC0000114,INC0000115,causal,progressione kill-chain stesso attore/campagna
INC0000114,INC0000115,temporal,"stessa campagna, sequenza temporale"
INC0000115,INC0000116,causal,progressione kill-chain stesso attore/campagna
INC0000115,INC0000116,temporal,"stessa campagna, sequenza temporale"
INC0000116,INC0000117,causal,progressione kill-chain stesso attore/campagna
INC0000116,INC0000117,temporal,"stessa campagna, sequenza temporale"
INC0000117,INC0000118,causal,progressione kill-chain stesso attore/campagna
INC0000117,INC0000118,temporal,"stessa campagna, sequenza temporale"
INC0000118,INC0000119,causal,progressione kill-chain stesso attore/campagna
INC0000118,INC0000119,temporal,"stessa campagna, sequenza temporale"
INC0000119,INC0000120,causal,progressione kill-chain stesso attore/campagna
INC0000119,INC0000120,temporal,"stessa campagna, sequenza temporale"
INC0000120,INC0000121,causal,progressione kill-chain stesso attore/campagna
INC0000120,INC0000121,temporal,"stessa campagna, sequenza temporale"
INC0000122,INC0000113,supports,postmortem corrobora lo stadio
INC0000122,INC0000114,supports,postmortem corrobora lo stadio
INC0000122,INC0000115,supports,postmortem corrobora lo stadio
INC0000122,INC0000116,supports,postmortem corrobora lo stadio
INC0000122,INC0000117,supports,postmortem corrobora lo stadio
INC0000122,INC0000118,supports,postmortem corrobora lo stadio
INC0000122,INC0000119,supports,postmortem corrobora lo stadio
INC0000122,INC0000120,supports,postmortem corrobora lo stadio
INC0000122,INC0000121,supports,postmortem corrobora lo stadio
INC0000123,INC0000124,causal,progressione kill-chain stesso attore/campagna
INC0000123,INC0000124,temporal,"stessa campagna, sequenza temporale"
INC0000124,INC0000125,causal,progressione kill-chain stesso attore/campagna
INC0000124,INC0000125,temporal,"stessa campagna, sequenza temporale"
INC0000125,INC0000126,causal,progressione kill-chain stesso attore/campagna
INC0000125,INC0000126,temporal,"stessa campagna, sequenza temporale"
INC0000126,INC0000127,causal,progressione kill-chain stesso attore/campagna
INC0000126,INC0000127,temporal,"stessa campagna, sequenza temporale"
INC0000127,INC0000128,causal,progressione kill-chain stesso attore/campagna
INC0000127,INC0000128,temporal,"stessa campagna, sequenza temporale"
INC0000128,INC0000129,causal,progressione kill-chain stesso attore/campagna
INC0000128,INC0000129,temporal,"stessa campagna, sequenza temporale"
INC0000129,INC0000130,causal,progressione kill-chain stesso attore/campagna
INC0000129,INC0000130,temporal,"stessa campagna, sequenza temporale"
INC0000130,INC0000131,causal,progressione kill-chain stesso attore/campagna
INC0000130,INC0000131,temporal,"stessa campagna, sequenza temporale"
INC0000132,INC0000123,supports,postmortem corrobora lo stadio
INC0000132,INC0000124,supports,postmortem corrobora lo stadio
INC0000132,INC0000125,supports,postmortem corrobora lo stadio
INC0000132,INC0000126,supports,postmortem corrobora lo stadio
INC0000132,INC0000127,supports,postmortem corrobora lo stadio
INC0000132,INC0000128,supports,postmortem corrobora lo stadio
INC0000132,INC0000129,supports,postmortem corrobora lo stadio
INC0000132,INC0000130,supports,postmortem corrobora lo stadio
INC0000132,INC0000131,supports,postmortem corrobora lo stadio
INC0000133,INC0000134,causal,progressione kill-chain stesso attore/campagna
INC0000133,INC0000134,temporal,"stessa campagna, sequenza temporale"
INC0000134,INC0000135,causal,progressione kill-chain stesso attore/campagna
INC0000134,INC0000135,temporal,"stessa campagna, sequenza temporale"
INC0000136,INC0000133,supports,postmortem corrobora lo stadio
INC0000136,INC0000134,supports,postmortem corrobora lo stadio
INC0000136,INC0000135,supports,postmortem corrobora lo stadio
INC0000137,INC0000138,causal,progressione kill-chain stesso attore/campagna
INC0000137,INC0000138,temporal,"stessa campagna, sequenza temporale"
INC0000138,INC0000139,causal,progressione kill-chain stesso attore/campagna
INC0000138,INC0000139,temporal,"stessa campagna, sequenza temporale"
INC0000140,INC0000141,causal,progressione kill-chain stesso attore/campagna
INC0000140,INC0000141,temporal,"stessa campagna, sequenza temporale"
INC0000141,INC0000142,causal,progressione kill-chain stesso attore/campagna
INC0000141,INC0000142,temporal,"stessa campagna, sequenza temporale"
INC0000142,INC0000143,causal,progressione kill-chain stesso attore/campagna
INC0000142,INC0000143,temporal,"stessa campagna, sequenza temporale"
INC0000143,INC0000144,causal,progressione kill-chain stesso attore/campagna
INC0000143,INC0000144,temporal,"stessa campagna, sequenza temporale"
INC0000144,INC0000145,causal,progressione kill-chain stesso attore/campagna
INC0000144,INC0000145,temporal,"stessa campagna, sequenza temporale"
INC0000146,INC0000140,supports,postmortem corrobora lo stadio
INC0000146,INC0000141,supports,postmortem corrobora lo stadio
INC0000146,INC0000142,supports,postmortem corrobora lo stadio
INC0000146,INC0000143,supports,postmortem corrobora lo stadio
INC0000146,INC0000144,supports,postmortem corrobora lo stadio
INC0000146,INC0000145,supports,postmortem corrobora lo stadio
INC0000147,INC0000148,causal,progressione kill-chain stesso attore/campagna
INC0000147,INC0000148,temporal,"stessa campagna, sequenza temporale"
INC0000148,INC0000149,causal,progressione kill-chain stesso attore/campagna
INC0000148,INC0000149,temporal,"stessa campagna, sequenza temporale"
INC0000149,INC0000150,causal,progressione kill-chain stesso attore/campagna
INC0000149,INC0000150,temporal,"stessa campagna, sequenza temporale"
INC0000150,INC0000151,causal,progressione kill-chain stesso attore/campagna
INC0000150,INC0000151,temporal,"stessa campagna, sequenza temporale"
INC0000151,INC0000152,causal,progressione kill-chain stesso attore/campagna
INC0000151,INC0000152,temporal,"stessa campagna, sequenza temporale"
INC0000152,INC0000153,causal,progressione kill-chain stesso attore/campagna
INC0000152,INC0000153,temporal,"stessa campagna, sequenza temporale"
INC0000154,INC0000147,supports,postmortem corrobora lo stadio
INC0000154,INC0000148,supports,postmortem corrobora lo stadio
INC0000154,INC0000149,supports,postmortem corrobora lo stadio
INC0000154,INC0000150,supports,postmortem corrobora lo stadio
INC0000154,INC0000151,supports,postmortem corrobora lo stadio
INC0000154,INC0000152,supports,postmortem corrobora lo stadio
INC0000154,INC0000153,supports,postmortem corrobora lo stadio
INC0000155,INC0000156,causal,progressione kill-chain stesso attore/campagna
INC0000155,INC0000156,temporal,"stessa campagna, sequenza temporale"
INC0000156,INC0000157,causal,progressione kill-chain stesso attore/campagna
INC0000156,INC0000157,temporal,"stessa campagna, sequenza temporale"
INC0000157,INC0000158,causal,progressione kill-chain stesso attore/campagna
INC0000157,INC0000158,temporal,"stessa campagna, sequenza temporale"
INC0000158,INC0000159,causal,progressione kill-chain stesso attore/campagna
INC0000158,INC0000159,temporal,"stessa campagna, sequenza temporale"
INC0000159,INC0000160,causal,progressione kill-chain stesso attore/campagna
INC0000159,INC0000160,temporal,"stessa campagna, sequenza temporale"
INC0000160,INC0000161,causal,progressione kill-chain stesso attore/campagna
INC0000160,INC0000161,temporal,"stessa campagna, sequenza temporale"
INC0000161,INC0000162,causal,progressione kill-chain stesso attore/campagna
INC0000161,INC0000162,temporal,"stessa campagna, sequenza temporale"
INC0000163,INC0000155,supports,postmortem corrobora lo stadio
INC0000163,INC0000156,supports,postmortem corrobora lo stadio
INC0000163,INC0000157,supports,postmortem corrobora lo stadio
INC0000163,INC0000158,supports,postmortem corrobora lo stadio
INC0000163,INC0000159,supports,postmortem corrobora lo stadio
INC0000163,INC0000160,supports,postmortem corrobora lo stadio
INC0000163,INC0000161,supports,postmortem corrobora lo stadio
INC0000163,INC0000162,supports,postmortem corrobora lo stadio
INC0000164,INC0000165,causal,progressione kill-chain stesso attore/campagna
INC0000164,INC0000165,temporal,"stessa campagna, sequenza temporale"
INC0000165,INC0000166,causal,progressione kill-chain stesso attore/campagna
INC0000165,INC0000166,temporal,"stessa campagna, sequenza temporale"
INC0000166,INC0000167,causal,progressione kill-chain stesso attore/campagna
INC0000166,INC0000167,temporal,"stessa campagna, sequenza temporale"
INC0000167,INC0000168,causal,progressione kill-chain stesso attore/campagna
INC0000167,INC0000168,temporal,"stessa campagna, sequenza temporale"
INC0000169,INC0000164,supports,postmortem corrobora lo stadio
INC0000169,INC0000165,supports,postmortem corrobora lo stadio
INC0000169,INC0000166,supports,postmortem corrobora lo stadio
INC0000169,INC0000167,supports,postmortem corrobora lo stadio
INC0000169,INC0000168,supports,postmortem corrobora lo stadio
INC0000170,INC0000171,causal,progressione kill-chain stesso attore/campagna
INC0000170,INC0000171,temporal,"stessa campagna, sequenza temporale"
INC0000171,INC0000172,causal,progressione kill-chain stesso attore/campagna
INC0000171,INC0000172,temporal,"stessa campagna, sequenza temporale"
INC0000172,INC0000173,causal,progressione kill-chain stesso attore/campagna
INC0000172,INC0000173,temporal,"stessa campagna, sequenza temporale"
INC0000173,INC0000174,causal,progressione kill-chain stesso attore/campagna
INC0000173,INC0000174,temporal,"stessa campagna, sequenza temporale"
INC0000174,INC0000175,causal,progressione kill-chain stesso attore/campagna
INC0000174,INC0000175,temporal,"stessa campagna, sequenza temporale"
INC0000175,INC0000176,causal,progressione kill-chain stesso attore/campagna
INC0000175,INC0000176,temporal,"stessa campagna, sequenza temporale"
INC0000176,INC0000177,causal,progressione kill-chain stesso attore/campagna
INC0000176,INC0000177,temporal,"stessa campagna, sequenza temporale"
INC0000177,INC0000178,causal,progressione kill-chain stesso attore/campagna
INC0000177,INC0000178,temporal,"stessa campagna, sequenza temporale"
INC0000179,INC0000180,causal,progressione kill-chain stesso attore/campagna
INC0000179,INC0000180,temporal,"stessa campagna, sequenza temporale"
INC0000180,INC0000181,causal,progressione kill-chain stesso attore/campagna
INC0000180,INC0000181,temporal,"stessa campagna, sequenza temporale"
INC0000182,INC0000183,causal,progressione kill-chain stesso attore/campagna
INC0000182,INC0000183,temporal,"stessa campagna, sequenza temporale"
INC0000183,INC0000184,causal,progressione kill-chain stesso attore/campagna
INC0000183,INC0000184,temporal,"stessa campagna, sequenza temporale"
INC0000184,INC0000185,causal,progressione kill-chain stesso attore/campagna
INC0000184,INC0000185,temporal,"stessa campagna, sequenza temporale"
INC0000185,INC0000186,causal,progressione kill-chain stesso attore/campagna
INC0000185,INC0000186,temporal,"stessa campagna, sequenza temporale"
INC0000186,INC0000187,causal,progressione kill-chain stesso attore/campagna
INC0000186,INC0000187,temporal,"stessa campagna, sequenza temporale"
INC0000187,INC0000188,causal,progressione kill-chain stesso attore/campagna
INC0000187,INC0000188,temporal,"stessa campagna, sequenza temporale"
INC0000188,INC0000189,causal,progressione kill-chain stesso attore/campagna
INC0000188,INC0000189,temporal,"stessa campagna, sequenza temporale"
INC0000190,INC0000191,causal,progressione kill-chain stesso attore/campagna
INC0000190,INC0000191,temporal,"stessa campagna, sequenza temporale"
INC0000191,INC0000192,causal,progressione kill-chain stesso attore/campagna
INC0000191,INC0000192,temporal,"stessa campagna, sequenza temporale"
INC0000192,INC0000193,causal,progressione kill-chain stesso attore/campagna
INC0000192,INC0000193,temporal,"stessa campagna, sequenza temporale"
INC0000193,INC0000194,causal,progressione kill-chain stesso attore/campagna
INC0000193,INC0000194,temporal,"stessa campagna, sequenza temporale"
INC0000194,INC0000195,causal,progressione kill-chain stesso attore/campagna
INC0000194,INC0000195,temporal,"stessa campagna, sequenza temporale"
INC0000196,INC0000190,supports,postmortem corrobora lo stadio
INC0000196,INC0000191,supports,postmortem corrobora lo stadio
INC0000196,INC0000192,supports,postmortem corrobora lo stadio
INC0000196,INC0000193,supports,postmortem corrobora lo stadio
INC0000196,INC0000194,supports,postmortem corrobora lo stadio
INC0000196,INC0000195,supports,postmortem corrobora lo stadio
INC0000197,INC0000198,causal,progressione kill-chain stesso attore/campagna
INC0000197,INC0000198,temporal,"stessa campagna, sequenza temporale"
INC0000198,INC0000199,causal,progressione kill-chain stesso attore/campagna
INC0000198,INC0000199,temporal,"stessa campagna, sequenza temporale"
INC0000199,INC0000200,causal,progressione kill-chain stesso attore/campagna
INC0000199,INC0000200,temporal,"stessa campagna, sequenza temporale"
INC0000200,INC0000201,causal,progressione kill-chain stesso attore/campagna
INC0000200,INC0000201,temporal,"stessa campagna, sequenza temporale"
INC0000202,INC0000203,causal,progressione kill-chain stesso attore/campagna
INC0000202,INC0000203,temporal,"stessa campagna, sequenza temporale"
INC0000203,INC0000204,causal,progressione kill-chain stesso attore/campagna
INC0000203,INC0000204,temporal,"stessa campagna, sequenza temporale"
INC0000204,INC0000205,causal,progressione kill-chain stesso attore/campagna
INC0000204,INC0000205,temporal,"stessa campagna, sequenza temporale"
INC0000205,INC0000206,causal,progressione kill-chain stesso attore/campagna
INC0000205,INC0000206,temporal,"stessa campagna, sequenza temporale"
INC0000206,INC0000207,causal,progressione kill-chain stesso attore/campagna
INC0000206,INC0000207,temporal,"stessa campagna, sequenza temporale"
INC0000207,INC0000208,causal,progressione kill-chain stesso attore/campagna
INC0000207,INC0000208,temporal,"stessa campagna, sequenza temporale"
INC0000208,INC0000209,causal,progressione kill-chain stesso attore/campagna
INC0000208,INC0000209,temporal,"stessa campagna, sequenza temporale"
INC0000210,INC0000202,supports,postmortem corrobora lo stadio
INC0000210,INC0000203,supports,postmortem corrobora lo stadio
INC0000210,INC0000204,supports,postmortem corrobora lo stadio
INC0000210,INC0000205,supports,postmortem corrobora lo stadio
INC0000210,INC0000206,supports,postmortem corrobora lo stadio
INC0000210,INC0000207,supports,postmortem corrobora lo stadio
INC0000210,INC0000208,supports,postmortem corrobora lo stadio
INC0000210,INC0000209,supports,postmortem corrobora lo stadio
INC0000211,INC0000212,causal,progressione kill-chain stesso attore/campagna
INC0000211,INC0000212,temporal,"stessa campagna, sequenza temporale"
INC0000212,INC0000213,causal,progressione kill-chain stesso attore/campagna
INC0000212,INC0000213,temporal,"stessa campagna, sequenza temporale"
INC0000214,INC0000215,causal,progressione kill-chain stesso attore/campagna
INC0000214,INC0000215,temporal,"stessa campagna, sequenza temporale"
INC0000215,INC0000216,causal,progressione kill-chain stesso attore/campagna
INC0000215,INC0000216,temporal,"stessa campagna, sequenza temporale"
INC0000216,INC0000217,causal,progressione kill-chain stesso attore/campagna
INC0000216,INC0000217,temporal,"stessa campagna, sequenza temporale"
INC0000218,INC0000214,supports,postmortem corrobora lo stadio
INC0000218,INC0000215,supports,postmortem corrobora lo stadio
INC0000218,INC0000216,supports,postmortem corrobora lo stadio
INC0000218,INC0000217,supports,postmortem corrobora lo stadio
INC0000219,INC0000220,causal,progressione kill-chain stesso attore/campagna
INC0000219,INC0000220,temporal,"stessa campagna, sequenza temporale"
INC0000220,INC0000221,causal,progressione kill-chain stesso attore/campagna
INC0000220,INC0000221,temporal,"stessa campagna, sequenza temporale"
